channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled
ジャニーズJr.チャンネル,34,18.05.03,ジャニーズJr.チャンネル、YouTube で3月21日スタート,24,2018-03-04T19:01:14.000Z,164698,0,0,1997,False
東宝MOVIEチャンネル,34,18.14.02,「いぬやしき」予告,1,2018-02-13T20:00:04.000Z,32034,0,0,154,False
カリスマブラザーズ,34,18.15.02,試験官を出し抜け！第２回カンニング選手権！！,24,2018-02-14T11:44:46.000Z,231682,5715,195,504,False
Y's Kitchen,32,18.06.03,【料理】ワンプレートごはん,26,2018-03-05T14:30:02.000Z,8982,530,336,268,False
水溜りボンドの日常,32,18.16.05,【シェアハウス】実家からの大量の仕送りを開封したらまさかの展開に！！,20,2018-05-15T13:00:01.000Z,207765,7258,204,1292,False
Kawaii Pet TV,32,18.14.02,笑わないようにしてください！思わずに笑っちゃうハスキー犬のおもしろハプニング特集,15,2018-02-13T10:18:38.000Z,20114,251,41,25,False
プピプピ文太,32,18.08.02,カメラ三脚を手に入れた飼い主に付き合わされるシベリアンハスキー,15,2018-02-07T00:11:14.000Z,61152,1378,36,191,False
NPB news 3,31,18.11.02,180210(土) 長嶋巨人vs.野村ﾎｰｸｽ「豪華OB戦」 (3.4回)【巨人ﾎｰｸｽOB戦】 ／ プロ野球 ハイライト 読売ジャイアンツ,17,2018-02-10T07:58:26.000Z,165427,864,64,239,False
Momoiro Clover Z Channel,31,18.27.02,あやたかコンビの「春の一大事2018 in 東近江市」会場突撃リポート！,10,2018-02-26T11:05:47.000Z,18978,887,5,98,False
QuizKnock,31,18.18.02,【本職】クイズ王、同時に一般人15人を倒せるか!?【手加減なし早押しクイズ】,24,2018-02-17T12:09:12.000Z,76668,1847,36,409,False
SakuraSoTV,31,18.16.02,【Front Japan 桜】恐るべし赤い韓国現地報告～西岡力 / 「退位」の危険 / 憲法改正～公明党の反日の壁[桜H30/2/15],25,2018-02-15T12:00:04.000Z,18360,283,25,71,False
チャンネルを作成２,30,18.13.02,羽生結弦 平昌五輪 初練習 トリプルアクセル成功 ティッシュケース 3回転半 リンク 3か月ぶり 競技会場 2018年2月12日,22,2018-02-12T11:00:25.000Z,26916,255,13,27,False
