name,value,year,lastValue,rank
CANADA,528802,2017,9828,28
CANADA,25685,2017,341,28
CANADA,137519,2017,6831,28
CANADA,163570,2017,3986,28
CANADA,512884,2017,5801,28
CANADA,496192,2017,1503,28
CANADA,584991,2017,71366,28
CANADA,295322,2017,55802,28
CANADA,219182,2017,10523,28
CANADA,452311,2017,15969,28
CANADA,174916,2017,1729,28
CANADA,64563,2017,258,28
CANADA,133590,2017,5598,28
CANADA,399786,2017,23366,28
CANADA,961644,2017,62033,27
CANADA,655758,2017,10357,27
CANADA,136789,2017,295,27
CANADA,172720,2017,10736,27
CANADA,1313418,2017,112104,27
CANADA,26995,2017,290,27
CANADA,103447,2017,5903,27
CANADA,199519,2017,9595,27
CANADA,387902,2017,24443,27
CANADA,341134,2017,18017,27
CANADA,576064,2017,33367,26
CANADA,15076,2017,70,26
CANADA,717731,2017,27558,26
CANADA,96085,2017,1060,26
CANADA,607501,2017,13830,26
CANADA,206402,2017,2080,26
CANADA,35112,2017,597,26
CANADA,29113,2017,446,26
CANADA,621322,2017,95054,26
CANADA,134340,2017,10608,26
CANADA,1424196,2017,111413,26
CANADA,121818,2017,5070,26
CANADA,2935330,2017,281104,26
CANADA,28992,2017,1409,25
CANADA,313793,2017,20657,25
CANADA,122528,2017,2692,25
CANADA,219555,2017,23733,25
CANADA,275669,2017,13106,25
CANADA,164837,2017,5904,25
CANADA,990009,2017,85649,25
CANADA,109029,2017,1416,25
CANADA,140724,2017,1169,25
CANADA,2336528,2017,6729,25
CANADA,31016,2017,1996,24
CANADA,557883,2017,44558,24
CANADA,1040790,2017,27345,24
CANADA,229729,2017,2218,24
CANADA,232510,2017,9315,24
CANADA,196775,2017,5888,24
CANADA,33523622,2017,1634130,24
CANADA,1696948,2017,196533,24
CANADA,37007,2017,473,24
CANADA,719283,2017,41694,24
CANADA,172316,2017,1412,24
CANADA,41534,2017,8542,24
CANADA,184802,2017,8102,24
CANADA,725305,2017,21236,23
CANADA,11575,2017,132,23
CANADA,146900,2017,1377,23
CANADA,7288,2017,46,23
CANADA,68352,2017,1028,23
CANADA,448143,2017,25365,23
CANADA,119189,2017,991,23
CANADA,486287,2017,31084,23
CANADA,274828,2017,1751,23
CANADA,59590,2017,201,23
CANADA,423903,2017,17612,23
CANADA,66173,2017,400,23
CANADA,265534,2017,11835,23
CANADA,39354,2017,5941,22
CANADA,1783347,2017,111683,22
CANADA,54735,2017,2410,22
CANADA,364531,2017,11380,22
CANADA,163171,2017,746,22
CANADA,11508,2017,89,22
CANADA,267738,2017,2200,22
CANADA,165139,2017,3497,22
CANADA,31881,2017,60,22
CANADA,319334,2017,17602,22
CANADA,349669,2017,1288,22
