,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
341,AlishaMarie,32,17.21.11,10 Ways to Tell If You're OBSESSED with Christmas!! Alisha Marie,26,2017-11-19T19:28:53.000Z,999867,78088,690,12551,False,13,Howto & Style
342,How to DAD,32,17.21.11,HOW TO TAKE KIDS TO A RESTAURANT,22,2017-11-19T23:02:11.000Z,90054,3587,124,237,False,9,People & Blogs
343,VICE News,32,17.13.12,What It's Like To Be Absolutely Obsessed With Bitcoin (HBO),25,2017-12-12T01:11:58.000Z,242198,3016,519,701,False,12,News & Politics
344,Condé Nast Traveler,32,17.12.12,70 People Try 70 Tongue-Twisters From 70 Countries | Condé Nast Traveler,19,2017-12-06T20:42:56.000Z,30269,259,30,86,False,6,Travel & Events
345,ElleOfTheMills,32,17.29.11,COMING OUT (ELLE MILLS STYLE),24,2017-11-27T21:00:01.000Z,770606,124566,1962,18534,False,11,Entertainment
346,Mark Rober,32,17.30.11,Liquid Sand Hot Tub- Fluidized air bed,28,2017-11-28T21:05:56.000Z,3670052,126015,2696,9254,False,15,Science & Technology
347,5SOSVEVO,32,18.23.02,5 Seconds Of Summer - Want You Back (Audio),10,2018-02-23T00:00:01.000Z,439056,106536,656,20575,False,2,Music
348,ChrisStapletonVEVO,32,17.18.11,Chris Stapleton - Tryin' To Untangle My Mind (Audio),10,2017-11-17T16:08:06.000Z,133092,4168,141,266,False,2,Music
349,EnriqueIglesiasVEVO,32,18.05.05,"Enrique Iglesias, Pitbull - MOVE TO MIAMI (Lyric Video)",10,2018-05-03T12:00:01.000Z,1346416,53330,2234,3236,False,2,Music
350,FoxStarHindi,32,18.25.04,Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani,24,2018-04-24T07:58:08.000Z,18639195,511753,15606,32435,False,11,Entertainment
351,Impulse,32,18.24.03,Impulse | Official Teaser Trailer - YouTube Originals,24,2018-03-22T17:00:08.000Z,397385,5987,640,922,False,11,Entertainment
352,MalumaVEVO,32,18.15.03,Maluma - El Préstamo (Official Video),10,2018-03-09T11:00:01.000Z,48431654,609101,52259,29172,False,2,Music
353,Thomas Sanders,32,17.19.11,Real or FAKE ANIME?? Pt. 5 - ACTION/ADVENTURE EDITION! | Thomas Sanders,23,2017-11-18T18:29:57.000Z,101553,11324,118,2593,False,10,Comedy
354,Doctor Mike,32,17.06.12,Men’s Fashion Tips & Winter 2017 Style Guide | Doctor Mike,22,2017-12-03T15:59:27.000Z,48365,3207,59,781,False,9,People & Blogs
355,Ryland Adams,31,18.01.03,I WORE MY BOYFRIEND'S CLOTHES FOR A WEEK!,24,2018-02-28T20:00:00.000Z,1024011,79960,1363,5545,False,11,Entertainment
356,GEazyMusicVEVO,31,17.14.11,G-Eazy - The Plan (Official Video),10,2017-11-10T05:00:01.000Z,2642930,115795,3055,6410,False,2,Music
357,GoPro,31,17.12.12,GoPro Awards: Seagull Theft - With Telemetry in 4K,17,2017-12-11T17:00:02.000Z,40362,2504,34,127,False,4,Sports
358,TED,31,18.08.01,The secret language of letter design (with English subtitles) | Martina Flor,27,2018-01-05T16:04:57.000Z,57943,1200,94,102,False,14,Education
359,Shawn Mendes,31,18.23.03,Shawn Mendes In My Blood (Audio),10,2018-03-22T04:15:44.000Z,4321512,598021,2990,54873,False,2,Music
360,PBS NewsHour,31,17.05.12,"PBS NewsHour Weekend full episode Dec. 2, 2017",25,2017-12-02T22:29:20.000Z,21819,164,21,0,True,12,News & Politics
361,Lindsey Stirling,31,17.21.11,Lindsey Stirling - Christmas C'mon feat. Becky G,10,2017-11-16T14:01:50.000Z,831425,64705,1480,2825,False,2,Music
362,Fortnite,30,18.23.04,#boogiedown CONTEST WINNERS ANNOUNCED,20,2018-04-21T18:07:24.000Z,2437916,91314,20721,21838,False,7,Gaming
363,Peter McKinnon,30,17.22.11,TEACHING CASEY HOW TO VLOG,22,2017-11-21T13:18:50.000Z,290800,20545,282,3714,False,9,People & Blogs
364,Kanye West - Topic,30,18.01.05,Lift Yourself,10,2018-04-29T21:43:23.000Z,656393,25228,7287,7661,False,2,Music
365,Brian Hull,30,17.15.11,DISNEY SENT MICKEY MOUSE TO MY HOUSE!,24,2017-11-14T19:48:51.000Z,52743,4553,33,550,False,11,Entertainment
366,Molly Burke,30,17.29.11,YOUTUBER QUIZ + TRUTH OR DARE W/ THE MERRELL TWINS!,22,2017-11-28T18:30:43.000Z,129360,5214,108,516,False,9,People & Blogs
367,SugarlandVEVO,30,17.22.12,Sugarland - Still The Same,10,2017-12-21T05:00:00.000Z,110762,2713,132,222,False,2,Music
368,Camila Cabello,30,17.30.12,Camila Cabello - Never Be The Same,10,2017-12-29T17:50:58.000Z,496336,94831,793,9560,False,2,Music
369,Cardi B,30,17.22.12,Cardi B - Bartier Cardi (feat. 21 Savage) [Official Audio],22,2017-12-22T05:00:02.000Z,219465,23724,672,3656,False,9,People & Blogs
370,DisneyMusicVEVO,29,17.25.11,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),10,2017-11-21T20:00:01.000Z,154871,6992,187,364,False,2,Music
371,Lisa Eldridge,29,17.22.12,TITANIC TRANSFORMATION! THE ROSE LOOK FEAT. GUEST MAKEUP ARTIST TINA EARNSHAW,26,2017-12-21T17:03:31.000Z,105869,8305,78,870,False,13,Howto & Style
372,U2VEVO,29,17.14.11,U2 - The Blackout,10,2017-11-13T17:00:04.000Z,60506,5389,106,455,False,2,Music
373,MyLifeAsEva,29,17.23.11,THINGS PARENTS DO ON CHRISTMAS | MYLIFEASEVA,26,2017-11-21T23:32:56.000Z,571588,38843,1342,3181,False,13,Howto & Style
374,KaceyMusgravesVEVO,29,18.25.03,Kacey Musgraves - High Horse (Lyric Video),10,2018-03-22T15:48:42.000Z,150238,3372,226,366,False,2,Music
375,杰威爾音樂 JVR Music,29,18.15.05,"周杰倫 Jay Chou【不愛我就拉倒 If You Don't Love Me, It's Fine】Official MV",10,2018-05-14T15:59:47.000Z,916128,40485,1042,4746,False,2,Music
376,Discovery UK,29,18.26.03,Longest Snake On Earth Eats A Deer Whole | Wildest Islands Of Indonesia,24,2018-03-24T15:00:00.000Z,2703778,18185,1778,3508,False,11,Entertainment
377,Hope For Paws - Official Rescue Channel,29,17.14.11,Edna's registered owner thought she was dead for 2 years!!!,15,2017-11-10T18:02:04.000Z,284666,16396,81,949,False,3,Pets & Animals
378,FX Networks,28,17.28.12,The Assassination of Gianni Versace: American Crime Story | Season 2: First Look | FX,24,2017-12-27T16:59:46.000Z,30106,620,29,76,False,11,Entertainment
379,Matthias Wandel,28,17.18.11,Making loaded dice,26,2017-11-17T12:30:00.000Z,123751,3583,283,345,False,13,Howto & Style
380,DONG,28,18.22.04,The Sydney Opera House Illusion,24,2018-04-20T22:19:41.000Z,743656,30878,975,2616,False,11,Entertainment
381,johnmayerVEVO,28,18.12.05,John Mayer - New Light,10,2018-05-10T17:00:01.000Z,650153,36573,601,3382,False,2,Music
382,Taylor Nicole Dean,28,17.20.11,I Tried to Bathe All My Pets,15,2017-11-18T07:13:05.000Z,446368,33965,512,4340,False,3,Pets & Animals
383,CGP Grey,28,17.19.12,How Do Machines Learn?,27,2017-12-18T14:39:33.000Z,677636,119241,504,7194,False,14,Education
384,NBC,28,17.25.12,The 75th Annual Golden Globes - There’s a Lot to Talk About! (Promo),24,2017-12-22T14:00:02.000Z,3963,21,6,5,False,11,Entertainment
385,Yes Theory,28,17.23.11,Sneaking in EVERYWHERE for FREE (Yellow Vest Experiment),24,2017-11-21T21:38:54.000Z,199355,10175,122,970,False,11,Entertainment
386,MiguelVEVO,28,17.20.11,Miguel - Pineapple Skies (Audio),10,2017-11-17T05:00:01.000Z,300653,14228,123,768,False,2,Music
387,Selena Gomez,28,18.12.05,Selena Gomez - Back To You (Lyric Video),1,2018-05-10T16:00:11.000Z,3969429,409750,4750,25876,False,0,Film & Animation
388,TheOdd2sOut,27,18.16.05,22 Years of Life Milestone,23,2018-05-14T19:36:05.000Z,688645,73735,466,23002,False,10,Comedy
389,TinasheOfficialVEVO,27,18.19.01,Tinashe - No Drama (Official Video) ft. Offset,10,2018-01-18T21:52:00.000Z,238948,25569,566,2872,False,2,Music
390,Tina Yong,27,18.18.01,Full Face Using Only Foundation! TINA TRIES IT,26,2018-01-17T15:17:24.000Z,165172,12650,161,994,False,13,Howto & Style
391,Vat19,27,18.15.05,"We built the Infinity Gauntlet with 25,000 magnets!",24,2018-05-12T11:30:03.000Z,2227658,29191,1157,4092,False,11,Entertainment
392,LadyGagaVEVO,27,17.23.11,Lady Gaga - The Cure (Live On The American Music Awards - 2017),10,2017-11-22T00:04:08.000Z,605722,54920,633,3609,False,2,Music
393,SuperCarlinBrothers,27,17.14.11,Could Anastasia Become A Disney Princess?,22,2017-11-09T23:27:18.000Z,188003,9091,135,2814,False,9,People & Blogs
394,BackstreetBoysVEVO,27,18.18.05,Backstreet Boys - Don't Go Breaking My Heart (Official Video),10,2018-05-17T04:00:01.000Z,2822391,131909,5164,16487,False,2,Music
395,SelenaGomezVEVO,27,17.19.11,"Selena Gomez, Marshmello - Wolves",10,2017-11-18T16:00:02.000Z,2959054,415035,6703,30393,False,2,Music
396,ScreenPrism,27,17.15.11,Rick and Morty: Why Morty Matters,1,2017-11-12T16:46:33.000Z,246134,5847,337,544,False,0,Film & Animation
397,The Royal Family Channel,27,17.30.11,Royal Proposals: Prince Harry vs Prince William,25,2017-11-28T19:07:09.000Z,52336,493,16,154,False,12,News & Politics
398,FifthHarmonyVEVO,26,18.20.05,Fifth Harmony - Don't Say You Love Me,10,2018-05-18T07:00:08.000Z,3539843,384534,6164,38249,False,2,Music
399,UFC ON FOX,26,18.14.04,Rose Namajunas vs Joanna Jędrzejczyk | HIGHLIGHTS | UFC 223,22,2018-04-08T09:08:05.000Z,801105,3364,399,1056,False,9,People & Blogs
400,Daisy Marquez,26,18.27.01,I have something to tell you..,22,2018-01-25T22:10:48.000Z,434877,22699,1538,2790,False,9,People & Blogs
401,Mental Floss,26,17.16.11,24 Facts about Koalas - mental_floss List Show Ep. 522,27,2017-11-15T16:00:00.000Z,21740,979,5,93,False,14,Education
402,Bachelor Nation on ABC,26,17.13.12,The Bachelor Returns Janu-Arie 1,24,2017-12-12T07:00:05.000Z,6925,46,8,12,False,11,Entertainment
403,Rob Scallon,26,17.14.12,All Tritones Song (the devil's interval),10,2017-12-11T14:04:38.000Z,246607,14478,202,1242,False,2,Music
404,RemyMaVEVO,26,17.14.11,Remy Ma - Wake Me Up (Audio) ft. Lil' Kim,10,2017-11-08T17:00:00.000Z,1231518,32648,6221,9288,False,2,Music
405,Don Diablo,26,18.06.03,Don Diablo - Higher ft  Betty Who | Official Music Video,10,2018-03-05T18:43:22.000Z,145826,16838,161,1098,False,2,Music
406,Cracked,26,17.14.11,One Change That Would Make Pacific Rim a Classic,23,2017-11-12T17:00:05.000Z,295639,8011,638,1256,False,10,Comedy
407,Al Jazeera English,26,17.13.12,Alabama senate election: New poll shows Doug Jones ahead of Roy Moore,25,2017-12-12T09:36:47.000Z,11799,109,70,200,False,12,News & Politics
408,Alissa Ashley,26,17.08.12,Easy Quick Holiday Glam!,26,2017-12-07T01:12:07.000Z,38432,5162,51,286,False,13,Howto & Style
409,NHL,26,18.31.03,Emergency goalie steals the show in Chicago,17,2018-03-30T05:02:06.000Z,917010,15273,124,1303,False,4,Sports
410,Laura in the Kitchen,26,17.26.11,3 Ingredient Sea Salted Chocolate Pretzel Bark | Episode 1211,26,2017-11-25T17:38:50.000Z,45929,2713,72,179,False,13,Howto & Style
411,The Talk,26,17.17.11,"The Talk - Eve Reacts to Nicki Minaj's Racy Magazine Cover, 'I just don't think it's right'",24,2017-11-15T21:24:22.000Z,228846,1326,501,1166,False,11,Entertainment
