,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
500,John Mayer,21,18.25.05,John Mayer - New Light (Premium Content!),10,2018-05-24T13:42:02.000Z,798095,57776,1145,5990,False,2,Music
501,Nikita Dragun,21,18.15.02,♡ VALENTINES DAY HEART FRECKLES MAKEUP TUTORIAL ♡,26,2018-02-13T19:59:13.000Z,337493,26492,392,1561,False,13,Howto & Style
502,FOX Sports,21,17.27.11,"J.T. Barrett cuts through the Wolverines' defense, Michigan leads to 14-7 | FOX COLLEGE FOOTBALL",17,2017-11-25T18:32:33.000Z,95487,391,199,181,False,4,Sports
503,camelsandfriends,21,18.25.05,Camels vs. Cactus!!!   جمل,15,2018-05-23T13:33:03.000Z,193072,1315,82,514,False,3,Pets & Animals
504,Jack and Dean,20,17.06.12,Cup Phones - JACK AND DEAN,23,2017-12-03T17:48:44.000Z,130633,19566,137,739,False,10,Comedy
505,Munchies,20,17.29.11,How-To Make a Steak Sandwich with Matty Matheson,24,2017-11-28T12:00:00.000Z,399646,13557,295,1326,False,11,Entertainment
506,Disney Parks,20,18.06.01,#DisneyParksLIVE: Fantasy In The Sky New Years Eve Fireworks | Disney World,24,2018-01-01T05:11:37.000Z,130416,1812,30,110,False,11,Entertainment
507,Hamilton: An American Musical,20,18.20.01,"Hamilton – “Wrote My Way Out” (Nas, Dave East, Lin-Manuel Miranda & Aloe Blacc) [Official Video]",1,2018-01-19T17:03:31.000Z,122337,11241,116,782,False,0,Film & Animation
508,Josh Groban,20,17.21.11,Josh Groban - Happy Xmas (War Is Over) [Official Music Video],10,2017-11-20T16:00:08.000Z,43667,2408,66,273,False,2,Music
509,Jonathan Morrison,20,17.14.11,The Super Google Pixel 2 Camera Upgrade!,28,2017-11-11T15:38:32.000Z,290801,10237,377,1016,False,15,Science & Technology
