name,value,year,lastValue,rank
Coca-Cola,69498.6,2001.8,69429.4,1
Coca-Cola,69429.4,2001.7,69360.2,1
Coca-Cola,69421.2,2009.4,69249.4,1
Coca-Cola,69393.8,2017.1,69733,4
IBM,69387.2,2010.9,68869.4,2
IBM,69384.4,2014.4,70099.3,4
Coca-Cola,69360.2,2001.6,69291,1
Coca-Cola,69304.2,2000.9,69663.4,1
Coca-Cola,69291,2001.5,69221.8,1
Coca-Cola,69249.4,2009.3,69077.6,1
Coca-Cola,69229.4,2003.4,69535.3,1
Coca-Cola,69221.8,2001.4,69152.6,1
Microsoft,69207.5,2015.3,68695,4
Microsoft,69170.4,2000.2,69683.2,2
Coca-Cola,69152.6,2001.3,69083.4,1
Coca-Cola,69083.4,2001.2,69014.2,1
Coca-Cola,69077.6,2009.2,68905.8,1
Coca-Cola,69054.6,2017.2,69393.8,5
Coca-Cola,69014.2,2001.1,68945,1
Coca-Cola,68945,2001,69304.2,1
Coca-Cola,68923.5,2003.5,69229.4,1
Coca-Cola,68905.8,2009.1,68734,1
IBM,68869.4,2010.8,68351.6,2
Coca-Cola,68734,2009,68527.3,1
Coca-Cola,68715.4,2017.3,69054.6,5
Microsoft,68695,2015.2,68182.5,4
IBM,68669.5,2014.5,69384.4,4
Microsoft,68657.6,2000.3,69170.4,2
Coca-Cola,68617.6,2003.6,68923.5,1
Coca-Cola,68527.3,2008.9,68320.6,1
Amazon,68392.8,2017.1,64796,5
Coca-Cola,68376.2,2017.4,68715.4,5
IBM,68351.6,2010.7,67833.8,2
Coca-Cola,68320.6,2008.8,68113.9,1
Coca-Cola,68311.7,2003.7,68617.6,1
Google,68285.1,2011.9,66844.2,4
Microsoft,68182.5,2015.1,67670,4
Microsoft,68144.8,2000.4,68657.6,2
Coca-Cola,68113.9,2008.7,67907.2,1
Coca-Cola,68037,2017.5,68376.2,5
Coca-Cola,68005.8,2003.8,68311.7,1
IBM,67954.6,2014.6,68669.5,4
Apple,67952.8,2011.8,63645.2,3
Coca-Cola,67907.2,2008.6,67700.5,1
IBM,67833.8,2010.6,67316,2
Coca-Cola,67700.5,2008.5,67493.8,1
Coca-Cola,67699.9,2003.9,68005.8,1
Coca-Cola,67697.8,2017.6,68037,5
Microsoft,67670,2015,67018.4,4
Microsoft,67632,2000.5,68144.8,2
Coca-Cola,67525,2005,67511.9,1
Coca-Cola,67511.9,2004.9,67498.8,1
Coca-Cola,67498.8,2004.8,67485.7,1
Coca-Cola,67493.8,2008.4,67287.1,1
Coca-Cola,67485.7,2004.7,67472.6,1
Coca-Cola,67472.6,2004.6,67459.5,1
Coca-Cola,67472.5,2005.1,67525,1
Coca-Cola,67459.5,2004.5,67446.4,1
Coca-Cola,67446.4,2004.4,67433.3,1
Coca-Cola,67433.3,2004.3,67420.2,1
Coca-Cola,67420.2,2004.2,67407.1,1
Coca-Cola,67420,2005.2,67472.5,1
Coca-Cola,67407.1,2004.1,67394,1
Coca-Cola,67394,2004,67699.9,1
Coca-Cola,67367.5,2005.3,67420,1
Coca-Cola,67358.6,2017.7,67697.8,5
IBM,67316,2010.5,66798.2,2
Coca-Cola,67315,2005.4,67367.5,1
Coca-Cola,67287.1,2008.3,67080.4,1
Coca-Cola,67262.5,2005.5,67315,1
IBM,67239.7,2014.7,67954.6,4
Coca-Cola,67210,2005.6,67262.5,1
Coca-Cola,67157.5,2005.7,67210,1
Microsoft,67119.2,2000.6,67632,2
Coca-Cola,67105,2005.8,67157.5,1
Coca-Cola,67080.4,2008.2,66873.7,1
Coca-Cola,67052.5,2005.9,67105,1
Coca-Cola,67019.4,2017.8,67358.6,5
Microsoft,67018.4,2014.9,66366.8,4
Coca-Cola,67000,2006,67052.5,1
Coca-Cola,66873.7,2008.1,66667,1
Google,66844.2,2011.8,65403.3,4
Coca-Cola,66832.4,2006.1,67000,1
IBM,66798.2,2010.4,66280.4,2
Coca-Cola,66680.2,2017.9,67019.4,5
Coca-Cola,66667,2008,66532.7,1
Coca-Cola,66664.8,2006.2,66832.4,1
Microsoft,66606.4,2000.7,67119.2,2
Coca-Cola,66532.7,2007.9,66398.4,1
IBM,66524.8,2014.8,67239.7,4
Coca-Cola,66497.2,2006.3,66664.8,1
Coca-Cola,66398.4,2007.8,66264.1,1
Microsoft,66366.8,2014.8,65715.2,5
Coca-Cola,66341,2018,66680.2,5
Coca-Cola,66329.6,2006.4,66497.2,1
IBM,66280.4,2010.3,65762.6,2
Coca-Cola,66264.1,2007.7,66129.8,1
Coca-Cola,66162,2006.5,66329.6,1
Coca-Cola,66129.8,2007.6,65995.5,1
Microsoft,66093.6,2000.8,66606.4,2
Coca-Cola,65995.5,2007.5,65861.2,1
Coca-Cola,65994.4,2006.6,66162,1
Coca-Cola,65861.2,2007.4,65726.9,1
Coca-Cola,65826.8,2006.7,65994.4,1
IBM,65809.9,2014.9,66524.8,5
IBM,65762.6,2010.2,65244.8,2
Coca-Cola,65726.9,2007.3,65592.6,1
Microsoft,65715.2,2014.7,65063.6,5
Coca-Cola,65659.2,2006.8,65826.8,1
Coca-Cola,65592.6,2007.2,65458.3,1
Microsoft,65580.8,2000.9,66093.6,2
Coca-Cola,65491.6,2006.9,65659.2,1
Coca-Cola,65458.3,2007.1,65324,1
Google,65403.3,2011.7,63962.4,3
Coca-Cola,65324,2007,65491.6,1
IBM,65244.8,2010.1,64727,2
Microsoft,65174,2003,65065.7,2
IBM,65095,2015,65809.9,5
Microsoft,65068,2001,65580.8,2
Microsoft,65065.7,2002.9,64957.4,2
Microsoft,65063.6,2014.6,64412,5
Microsoft,64970.3,2001.1,65068,2
Microsoft,64957.4,2002.8,64849.1,2
Microsoft,64872.6,2001.2,64970.3,2
Microsoft,64849.1,2002.7,64740.8,2
Amazon,64796,2017,63350.2,5
Microsoft,64793.8,2003.1,65174,2
Microsoft,64774.9,2001.3,64872.6,2
Microsoft,64740.8,2002.6,64632.5,2
IBM,64727,2010,64275.4,2
Microsoft,64677.2,2001.4,64774.9,2
Microsoft,64632.5,2002.5,64524.2,2
Microsoft,64579.5,2001.5,64677.2,2
Microsoft,64524.2,2002.4,64415.9,2
Microsoft,64481.8,2001.6,64579.5,2
Microsoft,64415.9,2002.3,64307.6,2
Microsoft,64413.6,2003.2,64793.8,2
Microsoft,64412,2014.5,63760.4,5
Microsoft,64384.1,2001.7,64481.8,2
Microsoft,64307.6,2002.2,64199.3,2
Microsoft,64286.4,2001.8,64384.1,2
IBM,64275.4,2009.9,63823.8,2
Microsoft,64199.3,2002.1,64091,2
Microsoft,64188.7,2001.9,64286.4,2
Microsoft,64091,2002,64188.7,2
Microsoft,64033.4,2003.3,64413.6,2
Google,63962.4,2011.6,62521.5,3
IBM,63835.5,2015.1,65095,5
IBM,63823.8,2009.8,63372.2,2
Microsoft,63760.4,2014.4,63108.8,5
Microsoft,63653.2,2003.4,64033.4,2
Apple,63645.2,2011.7,59337.6,4
IBM,63372.2,2009.7,62920.6,2
Amazon,63350.2,2016.9,61904.4,5
Microsoft,63273,2003.5,63653.2,2
Microsoft,63108.8,2014.3,62457.2,5
IBM,62920.6,2009.6,62469,2
Microsoft,62892.8,2003.6,63273,2
IBM,62576,2015.2,63835.5,5
Google,62521.5,2011.5,61080.6,3
Microsoft,62512.6,2003.7,62892.8,2
IBM,62469,2009.5,62017.4,2
Microsoft,62457.2,2014.2,61805.6,5
Microsoft,62132.4,2003.8,62512.6,2
IBM,62017.4,2009.4,61565.8,2
Amazon,61904.4,2016.8,60458.6,5
Microsoft,61805.6,2014.1,61154,5
Microsoft,61752.2,2003.9,62132.4,2
IBM,61565.8,2009.3,61114.2,2
Microsoft,61372,2004,61752.2,2
IBM,61316.5,2015.3,62576,5
Microsoft,61228.9,2004.1,61372,2
Microsoft,61154,2014,60993.2,5
IBM,61114.2,2009.2,60662.6,2
Microsoft,61085.8,2004.2,61228.9,2
Google,61080.6,2011.4,59639.7,3
Microsoft,60993.2,2013.9,60832.4,5
Microsoft,60942.7,2004.3,61085.8,2
Microsoft,60895,2010,60470.2,3
Microsoft,60832.4,2013.8,60671.6,5
Microsoft,60799.6,2004.4,60942.7,2
Microsoft,60714.2,2010.1,60895,3
Microsoft,60671.6,2013.7,60510.8,5
IBM,60662.6,2009.1,60211,2
Microsoft,60656.5,2004.5,60799.6,2
Microsoft,60533.4,2010.2,60714.2,3
Microsoft,60513.4,2004.6,60656.5,2
Microsoft,60510.8,2013.6,60350,5
Microsoft,60470.2,2009.9,60045.4,3
Amazon,60458.6,2016.7,59012.8,5
Microsoft,60370.3,2004.7,60513.4,2
Microsoft,60352.6,2010.3,60533.4,3
Microsoft,60350,2013.5,60189.2,5
Microsoft,60227.2,2004.8,60370.3,2
IBM,60211,2009,60093,2
Microsoft,60189.2,2013.4,60028.4,5
Microsoft,60171.8,2010.4,60352.6,3
IBM,60093,2008.9,59975,2
Microsoft,60084.1,2004.9,60227.2,2
IBM,60057,2015.4,61316.5,5
Microsoft,60045.4,2009.8,59620.6,3
Microsoft,60028.4,2013.3,59867.6,5
Microsoft,59991,2010.5,60171.8,3
IBM,59975,2008.8,59857,2
Microsoft,59941,2005,60084.1,2
Samsung,59890,2018,59525.9,6
Microsoft,59867.6,2013.2,59706.8,5
IBM,59857,2008.7,59739,2
Microsoft,59810.2,2010.6,59991,3
IBM,59739,2008.6,59621,2
Microsoft,59706.8,2013.1,59546,5
Google,59639.7,2011.3,58198.8,3
Microsoft,59639.5,2005.1,59941,2
Microsoft,59629.4,2010.7,59810.2,3
IBM,59621,2008.5,59503,2
Microsoft,59620.6,2009.7,59195.8,3
Microsoft,59546,2013,59376.7,5
Samsung,59525.9,2017.9,59161.8,6
IBM,59503,2008.4,59385,2
Microsoft,59448.6,2010.8,59629.4,3
IBM,59385,2008.3,59267,2
Microsoft,59376.7,2012.9,59207.4,5
Microsoft,59338,2005.2,59639.5,2
Apple,59337.6,2011.6,55030,4
Microsoft,59267.8,2010.9,59448.6,3
IBM,59267,2008.2,59149,2
Microsoft,59207.4,2012.8,59038.1,5
Microsoft,59195.8,2009.6,58771,3
Samsung,59161.8,2017.8,58797.7,6
IBM,59149,2008.1,59031,2
Microsoft,59087,2011,59267.8,3
Microsoft,59038.1,2012.7,58868.8,5
Microsoft,59036.5,2005.3,59338,2
